,job_title,company_name,location,salary,description
54,Power BI Development,Think Analytics India Private Limited,Mumbai,25000 /month,"Roles & Responsibilities:

1. Work on business requirement analysis
2. Work on effort estimation for end-to-end Power BI deployment basis business requirement
3. Work on data modeling, fact & dimension design
4. Design & implementation of Power BI reports
5. Define test cases/user stories for Power BI reports
6. Work on role assignment for role-level access to Power BI reports"
55,Scala Development,Teknuance Info Solutions,Chennai,8000-10000 /month,"Selected intern's day-to-day responsibilities include: 

1. Understand the architecture and guide the Data engineering team on the best solution to a problem
2. Devise solutions from a technology perspective on big data technologies like Apache Hadoop, MapReduce
3. Work closely with the different teams to understand and meet business needs through the appropriate design and implementation of the data model(s)"
56,Data Analytics,Teknuance Info Solutions,Work From Home,3000-6000 /month,"Selected intern's day-to-day responsibilities include:

1. Gathering requirements for the projects
2. Sketching wireframes for the UIs
3. Creating data models for the product
4. Managing projects
5. Performing market competitor analysis"
57,Data Science,Diebold Nixdorf,Work From Home,5000 /month,"Selected intern's day-to-day responsibilities include: 

1. Create a data pipeline in Python
2. Work on data analytics Hive/Python
3. Build PowerBI dashboard"
58,Ecommerce & Data Analytics,OpenCubicles Technologies Private Limited,Work From Home,2000 /month +  Incentives,"Selected intern's day-to-day responsibilities include:

1. Conducting extensive online research in the e-commerce domain
2. Analyzing the websites, online presence, business models and operating processes of various online stores and marketplaces
3. Conducting online research to identify the latest industry trends, news, business opportunities, and prospective clients in very promising industry verticals internationally
4. Generating online leads
5. Working on detailed analysis & technology aspects of e-commerce players
6. Preparing detailed proposals and reports for prospects & clients"
59,Advance Analytics (Machine Learning/Artificial Intelligence),8K Miles Software Services Ltd,Work From Home,10000 /month,"Selected intern's day-to-day responsibilities include: 

1. Study of machine learning/artificial intelligence techniques
2. Work on benchmarking the performance of Cloud API's
3. Support development in real-time projects"
60,Data Science,SkillBit,Work From Home,5000 /month,"Selected intern's day-to-day responsibilities include:

1. Working on data science algorithms and AI concepts
2. Using Python or R for web scraping
3. Building AI models using Python, machine learning, and deep learning algorithms
4. Processing of unstructured/structured data"
61,Web/Data Scraping,Planting Root Technology Private Limited,Work From Home,1500 /month,"Selected intern's day-to-day responsibilities include: 

1. Mining data and collecting relevant information/leads
2. Using automated software to extract data
3. Fetching the right website and right leads"
62,Machine Learning,Aditya Malhotra,Work From Home,1000 /month,"Selected intern's day-to-day responsibilities include: 

1. Work on supporting the development of algorithms
2. Work on spearheading the documentation for Machine Learning Programs
3. Work on combining data analytics and ML programs including AI"
63,Data Annotation Work,Saarthi,Work From Home,8000 /month,"Selected intern's day-to-day responsibilities include: 

1. Engage in the accurate and efficient annotation of data (text, audio) using provided tools
2. Write data in multiple languages"
64,Business Intelligence & Analytics,GRIP At The Sparks Foundation,Work From Home,Unpaid,"Selected intern's day-to-day responsibilities include:

1. Creating linkages between various data within our business intelligence software to enable predictive modeling and sophisticated trend analysis
2. Producing & improving data visualization for weekly & monthly reporting to management & investors, thereby influencing key business decisions
3. Designing visualization dashboards to support other TSF teams in monitoring their key KPIs
4. Overseeing deployment of data to the data warehouse and work with the tech team to optimize the process
5. Reviewing & validating data received from various sources and implementing controls to enhance data quality"
65,Data Science & Analytics,GRIP At The Sparks Foundation,Work From Home,Unpaid,"Selected intern's day-to-day responsibilities include:

1.     Write code to collect, crunch and analyze data from various internal and external sources
2.     Build machine and tune learning models using Python and scikit-learn
3.     Create linkages between various data within our business intelligence software to enable predictive modeling and trend analysis
4.     Work in an agile environment as part of an interdisciplinary development team on the implementation of those ideas"
66,Online Teaching (Data Science),TFA (The Future Access),Work From Home,8000-10000 /month,"Selected intern's day-to-day responsibilities include:

1. Planning, preparing, and delivering lessons
2. Preparing teaching materials
3. Helping students improve their technical skills in data science and other tools via individual and group sessions
4. Providing online session needed"
67,Deep Learning (Machine Learning),Bipolar Factory,Work From Home,20000 /month,"Selected intern's day-to-day responsibilities include: 

1. Design and develop machine learning algorithms  
2. Recommend model architecture and dataset for computer vision and text-based use cases
3. Understand and implement existing deep learning networks on TensorFlow
4. Evaluate models and export for serving
5. Own and manage knowledge sharing within a community

Skills Required :

1. Proficiency with a deep learning framework such as TensorFlow
2. Proficiency with Python
3. Experience in feature engineering, data visualization, model training, and serving is preferred
4. Excellent project and time management skills
5. Attention to detail
6. Outstanding problem solving and analytical skills"
68,Business Analytics,Isourse,Delhi,10000 /month,"Selected intern's day-to-day responsibilities include:

1. Organizing review meetings with various stakeholders and preparing the business requirement document
2. Preparing the functional requirement document by coordinating with the software team
3. Interacting with the customer and conducting requirements gathering
4. Performing user acceptance testing
5. Preparing storyboards for CR and new projects
6. Should have knowledge about software implementation.
7. Should have knowledge about UAT Testing."
69,Machine Learning,FOXARCO,Bangalore,7000 /month +  Incentives,"Selected intern's day-to-day responsibilities include:

1. Fulfilling the software/coding based task (ML/Python/Android based) as per the target days on a daily basis
2. Maintaining and sharing errorlog/other information files, and details  everyday
3. Attending daily online/offline meeting with seniors on work progress, and daily reporting work progress
4. Browsing and researching errors/troubleshooting, and new coding work whenever required by team"
70,Project Development (Home Automation),BrandMore,Work From Home,2000 /month,"Selected intern's day-to-day responsibilities include: 

1. Develop home automation projects including hardware and software
2. Develop different projects of home and office automation with the help of Android app and web
3. Develop IoT and automation projects for police and army
4. Develop live projects of automation and IoT with AI and ML too"
71,Artificial Intelligence (AI),Advanto Software,Work From Home,2000-2001 /month,"Selected intern's day-to-day responsibilities include:

1. Conducting research on artificial intelligence integration for assessment
2. Developing solution for conducting exam using AI"
72,Machine Learning,KUKbit Software Lab,Work From Home,4000 /month,"Selected intern's day-to-day responsibilities include: 

1. Analyzing data, developing predictive algorithms, designing, and recommending code algorithms using
advanced machine learning algorithms
2. Designing, developing, and testing sales recommendation solutions
3. Performing explanatory data analysis
4. Preparing and analyzing data & identifying patterns"
73,Data Science,Neubrain Solutions Private Limited,Work From Home,1000 /month,"Selected intern's day-to-day responsibilities include:

1. Summarizing AI research
2. Analyzing datasets
3. Working on data cleaning and orchestrating
4. Exposing the data as APIs"
74,Business Analytics And Supply Chain Analyst,KickHead Softwares Private Limited,Work From Home,10000-20000 lump sum,"Selected intern's day-to-day responsibilities include: 

1. Conduct primary and secondary research reviewing online content, market reports, and internal publications to determine market trends, players and products
2. Support the product team in ideation, streamlining interdependencies, and gauging the business impact
3. Analyze consumer interactions on the SOLV platform to gain a better understanding of use patterns and propose new features"
75,Project Analyst,Encriss Technologies LLP,Work From Home,8000 /month +  Incentives,"Selected intern's day-to-day responsibilities include: 

1. Work on in-depth requirement analysis and documentation
2. Manage success criteria for each module
3. Work on user sign off on the requirements
4. Manage test scenario creation
5. Work on test result analysis and verification (actual testing to be done by testers)
6. Manage use requirements and scenarios to create user manuals for walkthrough
7. Wok on user training for using the system once live 
8. Manage application flow/wireframing
9. Work on project sign-offs and project history maintenance
10. Create scenarios for end to end testing of the application
11. Conduct application training sessions for users post-production and pre-production during UAT
12. Identify application success criteria for each module and have the same signed off by the users"
76,VOICE AI & Natural Language Processing,GoVocal.AI,Gurgaon,8000-10000 /month,"Selected intern's day-to-day responsibilities include:

1. Work on Machine Learning and natural language processing (NLP) for voice application
2. Work on implementing NLP engine in the dashboard using Angular 4 and Node.js
3. Handle other related tasks of full-stack development

Please do not apply if you can not join for minimum 3-4 months full-time internship. No Part time interns are eligible for this. Do not apply if an internship is not part of your curriculum or if you are not passed out already."
77,Business Analytics,INNATE ALLIANCE,Chennai,8000 /month,"Selected intern's day-to-day responsibilities include:

1. Analyze the business 
2. Prepare decks/presentations and content 
3. Discuss with an IT person to build the portal

Due to COVID, the candidate can work from home till the lockdown but would be expected to maintain work discipline while working from home. We are looking for a smart intern with a lot of energy and passion to learn and develop market place."
78,Machine Learning,Add The Money,Work From Home,5000 /month,"Selected intern's day-to-day responsibilities include: 

1. Work on projects related to machine learning and web development
2. Interact with clients"
79,Machine Learning,Farzi Khabr,Work From Home,1000 /month,"Selected intern's day-to-day responsibilities include: 

1. Develop a WhatsApp bot 
2. Work on web scrapping & Machine Learning"
80,Convolution Neural Network,Softsensor.ai,Work From Home,Unpaid,"Generative Adversarial Networks Development from Convolutional Neural Network- Softsensor AI is looking for interns in the area of CNN, GANS, and  AI. 

Selected intern's day-to-day responsibilities include:

1. Building neural network models 
2. Building data from various sources, researching the academic papers and identify the technology 
3. Working on solving problems build code and utilize tools like Github, etc. for working
4. Working with techniques like GANs, CNN and RNN for building solutions to cutting edge problems"
81,Convolution Neural Network,Softsensor.ai,Work From Home,Unpaid,"Generative Adversarial Networks Development from Convolutional Neural Network- Softsensor AI is looking for interns in the area of CNN, GANS, and  AI. 

Selected intern's day-to-day responsibilities include:

1. Building neural network models 
2. Building data from various sources, researching the academic papers and identify the technology 
3. Working on solving problems build code and utilize tools like Github, etc. for working
4. Working with techniques like GANs, CNN and RNN for building solutions to cutting edge problems"
82,Business Analytics,Headsup Corporation,Noida,8000-15000 /month,"Selected intern's day-to-day responsibilities include: 

1. Identify and understand problems through quantitative reporting, research, and analysis
2. Work closely with clients, gather critical information, and produce useful reports
3. Undertake primary and secondary market research as required and presents findings"
